Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
GameObject,0,0,0,0,0,0,1,1,1
Floor,0,-25.5,0,0,90,0,10,50,10
Floor,10,-25.5,0,0,90,0,10,50,10
Floor,20,-25.5,0,0,90,0,10,50,10
Floor,30,-27,0,0,90,0,10,50,10
Floor,40,-25.5,0,0,90,0,10,50,10
Floor,50,-25.5,0,0,90,0,10,50,10
Board,57.481,0.868,2.61,11.80001,270,180,1.5,0.5,6
Floor,65,-24,0,0,90,0,10,50,10
Scaffold,75,0.64,-2.5,0,90,0,5,0.5,5
Scaffold,82.6,0.64,2.5,0,90,0,5,0.5,5
Scaffold,90,0.64,-2.5,0,90,0,5,0.5,5
Floor,100,-24,0,0,90,0,10,50,10
Floor,120,-24,0,0,90,0,10,50,10
Floor,110,-24,0,0,90,0,10,50,10
Floor,130,-24,0,0,90,0,10,50,10
Floor,132.5,0.64,10,0,90,0,10,1,25
Wall,113,5.8,30,0,90,0,50,15,15
Scaffold,132.35,3.9,22.5,0,90,0,7,0.5,7
Scaffold,124,6.36,28.63,0,90,0,7,0.5,7
Scaffold,132.98,9.14,35.16,0,90,0,7,0.5,7
Scaffold,127.3,11.34,44.74,0,90,0,7,0.5,7
Floor,132.74,0,32.5,0,90,0,45,0.5,25
Floor,140,-24,0,0,90,0,10,50,10
Goal,114,14,11.9,0,0,0,1,1,1
