Name,PosX,PosY,PosZ,RotX,RotY,RotZ,SizeX,SizeY,SizeZ
Floor,0,-5.5,0,0,0,0,20,10,20
Floor,0,-5.5,-20,0,0,0,20,10,20
Floor,20,-5.5,0,0,0,0,20,10,20
Floor,40,-5.5,0,0,0,0,20,10,20
Foothold,60,-1,0,0,90,0,13.90245,1.258836,20
Slope,30,-5.5,-20,0,90,0,20,9.999998,40.00001
Soil,40,-15.5,-20,0,90,0,20,10,100
Soil,80,-15.5,0,0,90,0,20,10,60.00001
Floor,60,-15.5,20,0,90,0,20,10,60.00001
Floor,80,-5.5,0,0,0,0,20,10,20
Floor,100,-5.5,0,0,0,0,20,10,20
Board,114.94,0.2,-0.92,5.000002,230,0,7,0.3022789,19.92404
Floor,130,-4.5,0,0,0,0,20,10,20
Foothold,150,0,0,0,90,0,13.90245,1.258836,20
Foothold,170,0,0,0,90,0,13.90245,1.258836,20
Floor,130,-4.5,0,0,0,0,20,10,20
Soil,130,-14.5,0,0,90,0,20,10,20
Floor,190,-4.5,0,0,0,0,20,10,20
Floor,210,-4.5,0,0,0,0,20,10,20
Slope,240,-4.5,0,0,90,0,20,9.999998,40.00001
Soil,280,-14.5,0,0,90,0,20,10,200
Floor,330,-4.5,0,0,0,0,20,10,20
Floor,360,-4.5,0,0,0,0,40,10,20
FallenTree,370,1.4,-1,10,320,-2.167361E-07,40,7.068361,27.68012
FirTree,340,5.86,9.58,0,0,0,13.8,10.4588,13.12459
CamerSpot,355,1,0,0,0,0,2,1,2
Floor,360,-4.5,20,0,0,0,40,10,20
Stone,362.6,0.37,44,0,0,0,13.01296,3.549139,13.18821
Stone,357.2,0.5,38.8,0,0,0,4.879859,1.330927,4.945579
Floor,360,-4.5,40,0,0,0,40,10,20
Floor,360,-4.5,60,0,0,0,40,10,20
Floor,360,-4.5,80,0,0,0,40,10,20
Soil,360,-14.5,50,0,90,0,80.00002,10,40.00001
Floor,360,5.5,100,0,0,0,40,10,20
Floor,360,5.5,120,0,0,0,40,10,20
Soil,360,-9.5,110,0,90,0,40.00001,20,40.00001
Floor,360,-4.5,140,0,0,0,40,10,20
Floor,360,-4.5,160,0,0,0,40,10,20
Floor,360,-4.5,180,0,0,0,40,10,20
Soil,360,-14.5,160,0,90,0,60.00001,10,40.00001
Floor,360,-4.5,240,0,0,0,40,10,20
Floor,360,-4.5,260,0,0,0,40,10,20
Floor,360,-4.5,280,0,0,0,40,10,20
Floor,360,-4.5,300,0,0,0,40,10,20
Floor,360,-4.5,320,0,0,0,40,10,20
Floor,360,-4.5,340,0,0,0,40,10,20
CamerSpot,360,1,330,0,0,0,2,1,2
Soil,360,-14.5,350,0,90,0,240,10,40.00001
Soil,400,-14.5,390,0,90,0,160,10,40.00001
Soil,500,-14.5,440,0,90,0,60.00001,10,160
Floor,390,-4.5,330,0,0,0,20,10,40
Floor,410,-4.5,330,0,0,0,20,10,40
Floor,490,-4.5,420,0,0,0,20,10,20
Floor,490,-4.5,440,0,0,0,20,10,20
Floor,490,-4.5,460,0,0,0,20,10,20
CamerSpot,540,1,430,0,0,0,2,1,2
Floor,510,-4.5,420,0,0,0,20,10,20
Floor,510,-4.5,440,0,0,0,20,10,20
Floor,510,-4.5,460,0,0,0,20,10,20
Floor,530,-4.5,420,0,0,0,20,10,20
Floor,530,-4.5,440,0,0,0,20,10,20
Floor,530,-4.5,460,0,0,0,20,10,20
Floor,550,-4.5,420,0,0,0,20,10,20
Floor,550,-4.5,440,0,0,0,20,10,20
Floor,550,-4.5,460,0,0,0,20,10,20
Floor,570,-4.5,420,0,0,0,20,10,20
Floor,570,-4.5,440,0,0,0,20,10,20
Floor,570,-4.5,460,0,0,0,20,10,20
Floor,560,5.5,480,0,0,0,20,10,20
Floor,580,5.5,480,0,0,0,20,10,20
Floor,560,5.5,500,0,0,0,20,10,20
Floor,580,5.5,500,0,0,0,20,10,20
Floor,600,5.5,500,0,0,0,20,10,20
Floor,600,5.5,480,0,0,0,20,10,20
Soil,580,-9.5,490,0,90,0,40.00001,20,60.00001
